Order_Date,Product_ID,Product_Category,Buyer_Gender,Buyer_Age,Order_Location,International_Shipping,Sales_Price,Shipping_Charges,Sales_per_Unit,Quantity,Total_Sales,Rating
2023-11-10,BF1545,Other,Female,35,Dublin,Yes,10,40,50,1,50,3
2023-12-18,BF1555,Other,Female,32,New Delhi,Yes,23,70,93,2,186,4
2024-05-14,BF1552,Ornaments,Female,32,New York,No,45,0,45,1,45,4
2024-08-25,BF1548,Clothing,Male,28,Glasgow,Yes,65,40,105,1,105,4
2024-05-10,BF1551,Ornaments,Male,23,Cleveland,No,15,0,15,2,30,5
2024-07-25,BF1554,Ornaments,Male,35,Cleveland,No,20,0,20,1,20,2
2023-11-19,BF1544,Other,Male,18,London,Yes,9,40,49,1,49,5
2024-06-08,BF1544,Other,Male,23,San Antonio,No,9,0,9,1,9,3
2024-02-08,BF1548,Clothing,Female,34,Miami,No,65,0,65,4,260,5
2024-03-24,BF1544,Other,Male,23,Memphis,No,9,0,9,1,9,5
2024-08-01,BF1543,Clothing,Male,20,New Delhi,Yes,100,70,170,4,680,5
2024-04-05,BF1548,Clothing,Female,24,Manchester,Yes,65,40,105,2,210,5
2024-05-25,BF1543,Clothing,Male,18,Liverpool,Yes,100,40,140,2,280,4
2024-03-19,BF1551,Ornaments,Male,22,Austin,No,15,0,15,4,60,5
2024-05-01,BF1553,Ornaments,Male,28,New York,No,50,0,50,4,200,4
2023-11-30,BF1551,Ornaments,Male,34,Pittsburgh,No,15,0,15,3,45,3
2024-04-29,BF1548,Clothing,Male,22,Detroit,No,65,0,65,2,130,4
2024-05-16,BF1548,Clothing,Male,31,Miami,No,65,0,65,1,65,5
2023-12-26,BF1550,Clothing,Female,25,San Antonio,No,97,0,97,4,388,5
2024-05-20,BF1552,Ornaments,Male,29,San Antonio,No,45,0,45,2,90,2
2024-02-24,BF1548,Clothing,Male,29,New York,No,65,0,65,5,325,5
2024-10-23,BF1551,Ornaments,Male,18,Paris,Yes,15,50,65,1,65,4
2024-01-20,BF1543,Clothing,Male,19,Portland,No,100,0,100,3,300,3
2024-07-05,BF1545,Other,Female,23,New York,No,10,0,10,1,10,4
2024-06-25,BF1551,Ornaments,Female,20,San Antonio,No,15,0,15,1,15,4
2024-03-15,BF1546,Clothing,Male,33,San Antonio,No,118,0,118,1,118,5
2024-05-01,BF1551,Ornaments,Male,26,Portland,No,15,0,15,1,15,2
2024-09-02,BF1548,Clothing,Male,30,Miami,No,65,0,65,4,260,4
2024-03-30,BF1554,Ornaments,Female,31,Cardiff,Yes,20,40,60,4,240,4
2024-03-27,BF1550,Clothing,Male,35,Glasgow,Yes,97,40,137,2,274,5
2024-08-20,BF1552,Ornaments,Male,22,San Francisco,No,45,0,45,3,135,3
2023-12-19,BF1551,Ornaments,Male,34,Austin,No,15,0,15,4,60,3
2024-05-31,BF1551,Ornaments,Male,23,Montreal,Yes,15,25,40,1,40,2
2024-01-25,BF1547,Ornaments,Male,29,Memphis,No,32,0,32,1,32,3
2023-11-22,BF1552,Ornaments,Male,28,Manchester,Yes,45,40,85,1,85,5
2024-06-26,BF1548,Clothing,Female,22,Dublin,Yes,65,40,105,1,105,3
2024-04-18,BF1553,Ornaments,Male,29,Portland,No,50,0,50,1,50,5
2024-05-05,BF1545,Other,Male,28,Pittsburgh,No,10,0,10,1,10,4
2024-04-28,BF1551,Ornaments,Male,21,Cleveland,No,15,0,15,3,45,1
2024-10-16,BF1551,Ornaments,Male,25,Portland,No,15,0,15,1,15,5
2024-08-09,BF1554,Ornaments,Male,18,Portland,No,20,0,20,1,20,4
2024-03-28,BF1549,Clothing,Male,33,Detroit,No,130,0,130,1,130,4
2024-06-21,BF1548,Clothing,Male,32,San Antonio,No,65,0,65,2,130,4
2024-05-25,BF1543,Clothing,Male,22,New Jersey,No,100,0,100,1,100,5
2023-11-20,BF1550,Clothing,Male,21,Miami,No,97,0,97,1,97,3
2023-12-29,BF1548,Clothing,Male,27,Paris,Yes,65,50,115,1,115,4
2024-05-30,BF1545,Other,Female,22,Detroit,No,10,0,10,1,10,5
2024-04-01,BF1548,Clothing,Male,25,Sacramento,No,65,0,65,1,65,1
2023-12-06,BF1543,Clothing,Male,25,Portland,No,100,0,100,1,100,3
2024-06-26,BF1549,Clothing,Male,20,Las Vegas,No,130,0,130,1,130,2
2024-02-07,BF1550,Clothing,Male,35,Sacramento,No,97,0,97,1,97,3
2024-05-01,BF1548,Clothing,Male,21,San Francisco,No,65,0,65,1,65,4
2024-07-28,BF1545,Other,Male,27,Cardiff,Yes,10,40,50,3,150,4
2024-02-25,BF1547,Ornaments,Male,22,New Delhi,Yes,32,70,102,1,102,5
2024-07-20,BF1548,Clothing,Male,25,Las Vegas,No,65,0,65,1,65,4
2024-09-06,BF1548,Clothing,Male,18,Miami,No,65,0,65,2,130,4
2024-06-14,BF1548,Clothing,Male,28,San Antonio,No,65,0,65,1,65,3
2024-03-29,BF1551,Ornaments,Female,31,New York,No,15,0,15,3,45,5
2024-05-04,BF1552,Ornaments,Female,33,Las Vegas,No,45,0,45,2,90,5
2024-09-09,BF1553,Ornaments,Male,24,Manchester,Yes,50,40,90,1,90,5
2024-05-30,BF1551,Ornaments,Male,27,New York,No,15,0,15,2,30,5
2024-07-13,BF1543,Clothing,Male,32,Cleveland,No,100,0,100,1,100,5
2024-05-30,BF1545,Other,Male,22,Memphis,No,10,0,10,1,10,5
2024-04-22,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,2,130,5
2023-12-06,BF1544,Other,Female,22,Paris,Yes,9,50,59,2,118,2
2024-05-16,BF1543,Clothing,Male,25,Pittsburgh,No,100,0,100,1,100,4
2024-04-19,BF1554,Ornaments,Male,21,San Francisco,No,20,0,20,1,20,3
2024-05-04,BF1543,Clothing,Male,24,New Jersey,No,100,0,100,4,400,4
2024-09-10,BF1544,Other,Male,33,Liverpool,Yes,9,40,49,1,49,5
2024-04-12,BF1543,Clothing,Female,30,San Francisco,No,100,0,100,4,400,1
2024-09-18,BF1547,Ornaments,Male,25,Austin,No,32,0,32,1,32,4
2024-08-09,BF1544,Other,Female,30,Portland,No,9,0,9,1,9,4
2024-08-31,BF1544,Other,Female,32,Cardiff,Yes,9,40,49,4,196,5
2023-11-29,BF1551,Ornaments,Female,28,San Antonio,No,15,0,15,1,15,5
2024-03-05,BF1550,Clothing,Male,31,Memphis,No,97,0,97,1,97,1
2024-02-26,BF1555,Other,Male,34,Memphis,No,23,0,23,1,23,1
2024-01-27,BF1545,Other,Male,20,San Antonio,No,10,0,10,1,10,5
2024-03-25,BF1543,Clothing,Male,26,San Francisco,No,100,0,100,2,200,4
2024-02-03,BF1543,Clothing,Male,26,Austin,No,100,0,100,2,200,4
2024-05-30,BF1548,Clothing,Male,27,San Francisco,No,65,0,65,1,65,4
2024-02-08,BF1546,Clothing,Male,23,Portland,No,118,0,118,2,236,4
2023-12-18,BF1545,Other,Female,25,Pittsburgh,No,10,0,10,3,30,3
2023-12-17,BF1550,Clothing,Male,34,Las Vegas,No,97,0,97,1,97,5
2024-09-08,BF1547,Ornaments,Female,22,San Francisco,No,32,0,32,1,32,2
2024-06-16,BF1548,Clothing,Male,34,Toronto,Yes,65,25,90,1,90,5
2024-10-05,BF1551,Ornaments,Male,35,Memphis,No,15,0,15,2,30,2
2024-08-20,BF1551,Ornaments,Male,34,San Francisco,No,15,0,15,1,15,4
2024-02-13,BF1546,Clothing,Male,29,Glasgow,Yes,118,40,158,1,158,1
2023-11-05,BF1554,Ornaments,Male,21,New Jersey,No,20,0,20,4,80,5
2024-06-10,BF1553,Ornaments,Female,24,Cardiff,Yes,50,40,90,1,90,5
2024-07-04,BF1548,Clothing,Male,28,Las Vegas,No,65,0,65,4,260,1
2024-02-22,BF1551,Ornaments,Male,21,Austin,No,15,0,15,1,15,5
2024-03-15,BF1548,Clothing,Female,25,Cardiff,Yes,65,40,105,2,210,5
2024-01-04,BF1548,Clothing,Male,28,Detroit,No,65,0,65,1,65,5
2024-10-29,BF1548,Clothing,Male,29,San Francisco,No,65,0,65,4,260,1
2024-08-01,BF1550,Clothing,Male,26,Pittsburgh,No,97,0,97,2,194,3
2023-12-21,BF1548,Clothing,Female,22,Austin,No,65,0,65,2,130,5
2024-05-26,BF1546,Clothing,Female,27,Mumbai,Yes,118,70,188,1,188,5
2024-09-26,BF1550,Clothing,Male,29,Cleveland,No,97,0,97,3,291,1
2023-12-06,BF1554,Ornaments,Female,25,San Antonio,No,20,0,20,1,20,4
2024-06-14,BF1549,Clothing,Male,27,Detroit,No,130,0,130,4,520,5
2024-10-24,BF1548,Clothing,Male,21,New Delhi,Yes,65,70,135,1,135,5
2024-03-26,BF1546,Clothing,Male,32,Glasgow,Yes,118,40,158,1,158,3
2023-12-07,BF1548,Clothing,Male,19,Dublin,Yes,65,40,105,1,105,4
2024-07-15,BF1549,Clothing,Male,18,Montreal,Yes,130,25,155,1,155,3
2024-01-07,BF1548,Clothing,Male,19,Glasgow,Yes,65,40,105,3,315,3
2023-12-09,BF1551,Ornaments,Female,28,Pittsburgh,No,15,0,15,2,30,3
2024-09-16,BF1544,Other,Male,30,Sacramento,No,9,0,9,1,9,5
2024-05-08,BF1544,Other,Female,22,New York,No,9,0,9,1,9,2
2024-05-09,BF1548,Clothing,Male,30,Sacramento,No,65,0,65,3,195,4
2024-10-11,BF1554,Ornaments,Female,30,Manchester,Yes,20,40,60,1,60,5
2024-02-25,BF1545,Other,Female,18,Austin,No,10,0,10,1,10,5
2024-07-08,BF1543,Clothing,Male,25,San Francisco,No,100,0,100,1,100,4
2024-02-21,BF1552,Ornaments,Male,19,Pittsburgh,No,45,0,45,1,45,5
2023-12-08,BF1543,Clothing,Male,25,Cleveland,No,100,0,100,1,100,1
2023-11-07,BF1544,Other,Female,33,London,Yes,9,40,49,3,147,4
2023-11-06,BF1548,Clothing,Male,22,Portland,No,65,0,65,1,65,1
2024-01-15,BF1545,Other,Female,19,Liverpool,Yes,10,40,50,1,50,5
2023-12-20,BF1548,Clothing,Male,33,Las Vegas,No,65,0,65,1,65,4
2024-03-14,BF1551,Ornaments,Male,27,Sacramento,No,15,0,15,1,15,4
2024-05-05,BF1549,Clothing,Male,21,New Delhi,Yes,130,70,200,1,200,5
2024-04-08,BF1544,Other,Male,19,San Francisco,No,9,0,9,4,36,1
2024-07-01,BF1548,Clothing,Male,24,San Antonio,No,65,0,65,2,130,3
2024-05-26,BF1548,Clothing,Male,29,San Antonio,No,65,0,65,1,65,4
2024-03-17,BF1554,Ornaments,Male,25,Austin,No,20,0,20,1,20,4
2024-05-30,BF1549,Clothing,Male,35,Las Vegas,No,130,0,130,1,130,3
2024-03-26,BF1545,Other,Male,21,Memphis,No,10,0,10,1,10,1
2024-06-06,BF1550,Clothing,Male,23,Sacramento,No,97,0,97,2,194,5
2024-05-20,BF1543,Clothing,Male,32,Toronto,Yes,100,25,125,1,125,5
2024-05-04,BF1549,Clothing,Male,19,Liverpool,Yes,130,40,170,2,340,1
2024-02-25,BF1551,Ornaments,Female,21,Paris,Yes,15,50,65,3,195,4
2024-10-23,BF1550,Clothing,Female,29,San Antonio,No,97,0,97,1,97,2
2024-09-25,BF1550,Clothing,Male,27,Sydney,Yes,97,100,197,1,197,5
2024-03-25,BF1551,Ornaments,Male,31,Portland,No,15,0,15,5,75,4
2024-03-20,BF1551,Ornaments,Female,29,New Delhi,Yes,15,70,85,1,85,1
2024-09-21,BF1545,Other,Female,22,Austin,No,10,0,10,5,50,1
2023-11-10,BF1551,Ornaments,Male,24,San Antonio,No,15,0,15,1,15,5
2024-04-01,BF1543,Clothing,Male,30,New Delhi,Yes,100,70,170,3,510,3
2024-07-28,BF1555,Other,Female,25,Toronto,Yes,23,25,48,1,48,5
2023-12-06,BF1548,Clothing,Male,20,San Antonio,No,65,0,65,2,130,2
2024-10-18,BF1546,Clothing,Male,30,New Delhi,Yes,118,70,188,1,188,4
2024-01-08,BF1544,Other,Female,33,Sacramento,No,9,0,9,1,9,4
2024-07-09,BF1548,Clothing,Male,32,Miami,No,65,0,65,1,65,5
2023-12-30,BF1543,Clothing,Male,35,New Jersey,No,100,0,100,1,100,5
2024-07-22,BF1544,Other,Male,18,Memphis,No,9,0,9,2,18,3
2024-10-20,BF1545,Other,Male,21,Sacramento,No,10,0,10,4,40,3
2024-05-14,BF1543,Clothing,Male,23,Mumbai,Yes,100,70,170,1,170,3
2024-10-15,BF1550,Clothing,Male,33,Detroit,No,97,0,97,1,97,5
2024-03-12,BF1552,Ornaments,Male,30,San Antonio,No,45,0,45,1,45,5
2023-11-10,BF1547,Ornaments,Male,29,Cleveland,No,32,0,32,3,96,4
2024-01-08,BF1550,Clothing,Male,33,New Jersey,No,97,0,97,1,97,1
2024-08-17,BF1548,Clothing,Male,32,Liverpool,Yes,65,40,105,2,210,1
2024-08-30,BF1555,Other,Female,22,Las Vegas,No,23,0,23,1,23,4
2024-02-09,BF1548,Clothing,Male,30,Austin,No,65,0,65,1,65,5
2024-01-24,BF1543,Clothing,Female,20,Cardiff,Yes,100,40,140,2,280,2
2024-01-26,BF1544,Other,Female,26,Las Vegas,No,9,0,9,1,9,3
2023-12-06,BF1543,Clothing,Female,32,New York,No,100,0,100,2,200,2
2024-03-15,BF1546,Clothing,Female,22,Sacramento,No,118,0,118,3,354,5
2024-02-05,BF1546,Clothing,Female,34,Sacramento,No,118,0,118,1,118,5
2024-03-07,BF1551,Ornaments,Female,29,Sydney,Yes,15,100,115,1,115,4
2024-06-21,BF1547,Ornaments,Male,28,Pittsburgh,No,32,0,32,1,32,4
2024-02-24,BF1550,Clothing,Female,27,Sacramento,No,97,0,97,1,97,1
2024-05-30,BF1546,Clothing,Male,35,Mumbai,Yes,118,70,188,1,188,3
2024-04-29,BF1545,Other,Male,24,Manchester,Yes,10,40,50,1,50,4
2024-09-02,BF1543,Clothing,Male,21,San Francisco,No,100,0,100,1,100,3
2024-08-23,BF1548,Clothing,Male,31,Miami,No,65,0,65,1,65,1
2024-08-31,BF1545,Other,Male,33,Mumbai,Yes,10,70,80,3,240,2
2024-07-07,BF1545,Other,Male,23,Pittsburgh,No,10,0,10,1,10,4
2024-01-20,BF1544,Other,Male,31,Detroit,No,9,0,9,1,9,5
2024-07-25,BF1548,Clothing,Female,23,New Jersey,No,65,0,65,2,130,1
2024-07-28,BF1550,Clothing,Female,32,Detroit,No,97,0,97,1,97,5
2024-09-12,BF1543,Clothing,Male,29,New York,No,100,0,100,1,100,1
2024-03-25,BF1551,Ornaments,Male,31,Las Vegas,No,15,0,15,1,15,3
2024-08-12,BF1551,Ornaments,Male,23,Paris,Yes,15,50,65,4,260,3
